"행정구역별(시군구)","성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"강원도","여자",102213,98542,56784,35864,2726,1486,1682,3671,104883,101140,55622,39505,2820,1556,1637,3743,115693,111422,61059,43715,3005,1708,1935,4271,122366,117469,61660,48722,3293,1842,1952,4897,127100,121872,61833,52664,3451,1969,1955,5228
"충청북도","계",204109,192256,114961,66221,3538,4476,3060,11853,215196,204195,119180,73469,3673,4700,3173,11001,236208,223647,130128,81138,3855,5021,3505,12561,252251,238785,133321,92140,4253,5449,3622,13466,260948,246828,134174,98953,4428,5692,3581,14120
"충청북도","남자",105327,97639,61417,30763,1480,2267,1712,7688,111795,104748,64680,34424,1529,2337,1778,7047,122465,114546,70624,37871,1605,2524,1922,7919,131560,123098,73145,43438,1759,2781,1975,8462,136768,127947,74615,46603,1880,2878,1971,8821
"충청북도","여자",98782,94617,53544,35458,2058,2209,1348,4165,103401,99447,54500,39045,2144,2363,1395,3954,113743,109101,59504,43267,2250,2497,1583,4642,120691,115687,60176,48702,2494,2668,1647,5004,124180,118881,59559,52350,2548,2814,1610,5299
"충청남도","계",270497,251886,152232,81792,4546,9359,3957,18611,280773,262191,154570,88603,5020,9900,4098,18582,304973,283906,166698,96888,5401,10823,4096,21067,327432,303639,172829,108505,6149,11817,4339,23793,340741,316102,176029,116881,6364,12485,4343,24639
"충청남도","남자",140596,128577,77835,41884,1989,4634,2235,12019,146305,134377,79833,45037,2242,4933,2332,11928,159737,146226,86821,49246,2475,5461,2223,13511,173247,157984,91500,55208,2773,5996,2507,15263,181544,165909,94827,59290,2993,6286,2513,15635
"충청남도","여자",129901,123309,74397,39908,2557,4725,1722,6592,134468,127814,74737,43566,2778,4967,1766,6654,145236,137680,79877,47642,2926,5362,1873,7556,154185,145655,81329,53297,3376,5821,1832,8530,159197,150193,81202,57591,3371,6199,1830,9004
"전라북도","계",232587,222946,138169,73908,3721,4035,3113,9641,238746,229489,138987,79321,3943,4030,3208,9257,255269,245058,145160,87848,4440,4356,3254,10211,276153,264685,152690,98082,4925,5486,3502,11468,284613,271896,152778,104661,5298,5670,3489,12717
"전라북도","남자",109521,103176,65973,31753,1568,2115,1767,6345,112938,106841,67357,33882,1687,2115,1800,6097,121764,115125,71022,38072,1924,2264,1843,6639,132769,125368,75401,42856,2157,2963,1991,7401,137085,129065,75959,45687,2389,3111,1919,8020
"전라북도","여자",123066,119770,72196,42155,2153,1920,1346,3296,125808,122648,71630,45439,2256,1915,1408,3160,133505,129933,74138,49776,2516,2092,1411,3572,143384,139317,77289,55226,2768,2523,1511,4067,147528,142831,76819,58974,2909,2559,1570,4697
